noise_ratio,mse,rmse,mae,r2_score
0.0,2863.0334704709817,53.50732165293813,42.933167846732985,0.45961655944026414
0.05,2744.1248236749093,52.38439484879929,41.670744983996535,0.4719773886390437
0.1,3350.3574097495234,57.88227198157933,46.59196143881469,0.41163912733058305
0.15,3608.037252588012,60.066939763800285,48.547341349464936,0.3813721117243162
0.2,3568.9071298593262,59.740330848258,47.54809340960867,0.4112504120615822
0.25,3615.9802207933676,60.133021051609965,47.41951567960334,0.39068268238768344
0.3,4677.9660308814155,68.39565798266302,54.2526238943364,0.32976449322383916
0.4,6604.2691839831705,81.2666548098491,58.805050879840636,0.22341590718660242
0.5,5414.645702204221,73.58427618862757,56.27454584582235,0.3223903748719086
