shift_sigma,accuracy,f1_score,precision,recall
0.0,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.25,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222
0.5,0.9298245614035088,0.9420289855072463,0.9848484848484849,0.9027777777777778
0.75,0.9035087719298246,0.9197080291970803,0.9692307692307692,0.875
1.0,0.868421052631579,0.8872180451127819,0.9672131147540983,0.8194444444444444
1.5,0.631578947368421,0.5961538461538461,0.96875,0.4305555555555556
2.0,0.41228070175438597,0.12987012987012986,1.0,0.06944444444444445
2.5,0.37719298245614036,0.0273972602739726,1.0,0.013888888888888888
3.0,0.3684210526315789,0.0,0.0,0.0
